Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold,Festival_Name,Festival_Type,UPC_EAN,Product_Name,Sub_Category,Brand_Name,Brand_Tier,Shelf_Life_Days,No_of_Checkout_Counters,Avg_Billing_Time_min,Local_Population_Density,Product_Age_Days,No_of_Customer_Purchases,Unit_Cost,Promotional_Campaign_Flag,Competitor_Promotion_Flag,Google_Trends_Current_Wk,Google_Trends_Lag_1w,Shelf_Capacity,Promotion_Type,Marketing_Spend,Payday_Flag,School_Vacation_Flag,Local_Event_Flag,Launch_Date,Seasonal_Product_Flag,Online_Sales_Units,In_Store_Sales_Units,App_Traffic_Index,Website_Visits,Backorder_Flag,Supplier_Delay_Days,Fill_Rate_Pct,Loyalty_Program_Usage_Count,Repeat_Purchase_Rate,Avg_Basket_Size,Unit_Margin,Gross_Profit,Profit_Density,Stocking_Priority_Score,Stocking_Priority_Class,text_template
04/13/2023,3,4,2023,0,0,1002,Grocery,410.09,0.01,405.99,15,Urban,411.58,127.6,29.1,8.5,0.63,7,141,471,83,Unknown,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,6,5.9,12371,228,22,322.2,0,0,32,32,30,Unknown,1247,0,0,0,08/28/2022,1,12,71,488,896,0,0,88.93,11,0.14,3.77,83.79000000000002,6954.5700000000015,231.81900000000005,0.3016604761907607,Medium,Category: Grocery | Product: Nestle Beverages 1002 | SubCategory: Beverages | Brand: Nestle | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Urban
03/29/2023,2,3,2023,0,1,1002,Grocery,172.31,0.4,103.39,2,Urban,187.08,157.2,-0.8,1.7,0.15,10,155,343,129,Unknown,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,8,2.9,6891,228,42,92.18,1,0,87,43,74,Seasonal Discount,5425,0,0,0,08/13/2022,1,49,80,743,1888,0,2,88.51,14,0.16,3.07,11.209999999999994,1446.0899999999992,19.541756756756747,0.19624730553423694,Low,Category: Grocery | Product: Nestle Beverages 1002 | SubCategory: Beverages | Brand: Nestle | BrandTier: Premium | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Urban
04/10/2023,0,4,2023,0,0,1005,Grocery,453.9,0.4,272.34,20,Rural,497.1,133.3,23.7,0.1,0.64,2,115,301,97,Unknown,,9837527634092,Ashirvad Grains 1005,Grains,Ashirvad,Budget,18,3,5.5,1463,841,87,233.85,1,1,65,87,35,Flash Sale,3868,0,0,0,12/20/2020,0,19,78,536,1084,0,3,94.71,29,0.27,1.11,38.48999999999998,3733.529999999998,106.67228571428565,0.29149929158100046,Medium,Category: Grocery | Product: Ashirvad Grains 1005 | SubCategory: Grains | Brand: Ashirvad | BrandTier: Budget | Promotion: Flash Sale | Festival: Unknown | StoreType: Rural
12/26/2023,1,12,2023,0,0,1013,Clothing,295.75,0.23,227.73,9,Rural,321.72,66.3,7.0,0.6,0.89,9,65,241,94,Unknown,,8974285838703,FabIndia Activewear 1013,Activewear,FabIndia,Budget,530,10,7.6,1191,905,48,158.95,1,1,46,65,47,Loyalty Only,3477,0,1,0,07/04/2021,0,10,84,474,843,0,0,91.17,10,0.18,1.96,68.78,6465.32,137.56,0.3334319732656482,Medium,Category: Clothing | Product: FabIndia Activewear 1013 | SubCategory: Activewear | Brand: FabIndia | BrandTier: Budget | Promotion: Loyalty Only | Festival: Unknown | StoreType: Rural
06/01/2023,3,6,2023,0,0,1017,Home,47.27,0.3,33.09,9,Rural,45.11,189.8,1.7,10.5,0.91,14,131,319,204,Unknown,,5394891561256,Tupperware Bedding 1017,Bedding,Tupperware,Premium,2810,10,7.6,1191,86,117,40.05,1,0,79,46,71,Loyalty Only,3689,1,1,0,03/07/2023,0,52,152,763,1969,0,3,87.65,60,0.31,1.74,-6.959999999999994,-1419.8399999999988,-19.99774647887322,0.35101583213195925,High,Category: Home | Product: Tupperware Bedding 1017 | SubCategory: Bedding | Brand: Tupperware | BrandTier: Premium | Promotion: Loyalty Only | Festival: Unknown | StoreType: Rural
05/11/2023,3,5,2023,0,0,1016,Beauty,227.65,0.3,159.35,4,Urban,228.1,117.8,0.9,9.1,0.79,4,112,414,129,Unknown,,9339246514525,L'oreal Haircare 1016,Haircare,L'oreal,Premium,399,12,2.5,10210,752,64,116.37,1,0,53,79,68,Flash Sale,5654,0,1,0,04/19/2021,0,42,87,694,1700,0,0,90.56,33,0.34,2.02,42.97999999999999,5544.419999999998,81.53558823529409,0.2972707372991191,Medium,Category: Beauty | Product: L'oreal Haircare 1016 | SubCategory: Haircare | Brand: L'oreal | BrandTier: Premium | Promotion: Flash Sale | Festival: Unknown | StoreType: Urban
05/30/2023,1,5,2023,0,1,1003,Home,379.4,0.41,223.85,15,Rural,354.77,160.2,7.6,1.7,0.18,4,132,278,98,Unknown,,779320874566,Tupperware Decor 1003,Decor,Tupperware,Premium,2178,13,3.1,1680,419,87,297.57,1,0,14,53,81,Seasonal Discount,4259,0,1,0,04/06/2022,1,38,60,667,1593,0,1,85.44,36,0.1,1.13,-73.72,-7224.5599999999995,-89.19209876543209,0.28239864292160516,Medium,Category: Home | Product: Tupperware Decor 1003 | SubCategory: Decor | Brand: Tupperware | BrandTier: Premium | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
11/05/2023,6,11,2023,1,1,1014,Grocery,398.1,0.21,314.5,11,Urban,422.48,125.2,18.7,1.7,0.82,2,189,60,100,Unknown,,7766417546584,Nestle Grains 1014,Grains,Nestle,Budget,82,6,4.4,6438,1757,40,203.75,1,1,73,14,101,Flash Sale,4434,1,0,0,01/13/2019,0,33,67,633,1459,0,1,99.88,8,0.3,2.5,110.75,11075.0,109.65346534653466,0.39464324700720826,High,Category: Grocery | Product: Nestle Grains 1014 | SubCategory: Grains | Brand: Nestle | BrandTier: Budget | Promotion: Flash Sale | Festival: Unknown | StoreType: Urban
09/15/2023,4,9,2023,0,0,1010,Beauty,249.83,0.14,214.85,1,Urban,269.24,140.7,9.3,7.9,0.28,5,31,464,106,Unknown,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,9,5.5,5995,732,56,126.66,0,0,25,73,109,Unknown,838,0,0,0,09/13/2021,0,33,73,633,1459,0,3,94.12,27,0.1,1.89,88.19,9348.14,85.76275229357798,0.3023389750044961,Medium,Category: Beauty | Product: Lakme Fragrance 1010 | SubCategory: Fragrance | Brand: Lakme | BrandTier: Budget | Promotion: Unknown | Festival: Unknown | StoreType: Urban
12/10/2023,6,12,2023,1,1,1002,Home,447.9,0.13,389.67,18,Rural,479.37,95.4,-4.2,13.9,0.92,13,69,305,81,Unknown,,660993912552,Ikea Kitchenware 1002,Kitchenware,Ikea,Premium,2154,4,4.7,1754,534,73,268.01,0,0,19,25,26,Unknown,700,0,1,0,06/24/2022,0,24,57,571,1218,0,2,85.21,42,0.26,1.11,121.66000000000003,9854.460000000003,379.0176923076924,0.4204621125343447,High,Category: Home | Product: Ikea Kitchenware 1002 | SubCategory: Kitchenware | Brand: Ikea | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Rural
10/21/2023,5,10,2023,1,0,1002,Home,137.5,0.27,100.38,1,Rural,135.67,80.1,-1.1,7.6,0.71,6,147,301,141,Unknown,,660993912552,Ikea Kitchenware 1002,Kitchenware,Ikea,Premium,2154,8,4.6,1920,534,93,79.61,1,0,69,19,52,Loyalty Only,5175,0,0,0,05/05/2022,0,43,98,701,1727,0,2,86.49,33,0.33,1.52,20.769999999999996,2928.5699999999993,56.31865384615383,0.32927996460586556,Medium,Category: Home | Product: Ikea Kitchenware 1002 | SubCategory: Kitchenware | Brand: Ikea | BrandTier: Premium | Promotion: Loyalty Only | Festival: Unknown | StoreType: Rural
07/11/2023,1,7,2023,0,0,1015,Beauty,208.25,0.22,162.44,8,Urban,219.02,131.4,6.6,4.7,0.79,10,93,471,128,Unknown,,1914986328580,Lakme Fragrance 1015,Fragrance,Lakme,Mid,702,3,7.5,7119,1988,69,111.33,1,0,32,69,73,BOGO,2315,0,0,0,01/30/2018,0,46,82,722,1808,0,2,96.58,36,0.33,1.86,51.11,6542.08,89.61753424657535,0.3731467782096177,High,Category: Beauty | Product: Lakme Fragrance 1015 | SubCategory: Fragrance | Brand: Lakme | BrandTier: Mid | Promotion: BOGO | Festival: Unknown | StoreType: Urban
10/04/2023,2,10,2023,0,0,1004,Grocery,449.81,0.22,350.85,16,Urban,413.61,116.0,21.4,1.4,0.09,6,137,298,62,Unknown,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,3,2.2,9314,1410,33,314.08,1,0,92,32,53,Seasonal Discount,5070,1,0,0,11/24/2019,0,8,54,461,789,0,3,88.13,7,0.25,1.88,36.77000000000004,2279.7400000000025,43.01396226415099,0.18251061636616406,Low,Category: Grocery | Product: Nestle Grains 1004 | SubCategory: Grains | Brand: Nestle | BrandTier: Premium | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Urban
06/10/2023,5,6,2023,1,0,1009,Home,448.65,0.05,426.22,18,Urban,407.4,108.5,-1.1,3.7,0.58,3,89,393,82,Unknown,,7030810140677,Sleepwell Kitchenware 1009,Kitchenware,Sleepwell,Premium,1569,13,2.6,5779,943,69,230.98,0,1,20,92,107,Unknown,1080,0,1,0,11/09/2020,0,16,66,516,1003,0,0,85.74,33,0.14,1.19,195.24000000000004,16009.680000000004,149.6231775700935,0.33800083701220895,Medium,Category: Home | Product: Sleepwell Kitchenware 1009 | SubCategory: Kitchenware | Brand: Sleepwell | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Urban
11/10/2023,4,11,2023,0,0,1018,Beauty,344.43,0.36,220.44,9,Urban,361.87,150.9,17.4,1.3,0.82,12,143,94,104,Dhanteras,Wedding Season,3008669382416,Lakme Skincare 1018,Skincare,Lakme,Premium,564,3,6.8,6250,1738,103,289.93,1,1,91,20,86,Flash Sale,5309,0,0,0,02/06/2019,0,27,77,591,1298,0,0,86.24,35,0.37,1.01,-69.49000000000001,-7226.960000000001,-84.03441860465118,0.19560097147332245,Low,Category: Beauty | Product: Lakme Skincare 1018 | SubCategory: Skincare | Brand: Lakme | BrandTier: Premium | Promotion: Flash Sale | Festival: Dhanteras | StoreType: Urban
01/22/2023,6,1,2023,1,0,1003,Grocery,430.2,0.11,382.88,12,Urban,423.78,153.6,-0.2,8.3,0.86,14,90,492,88,Unknown,,1131674445030,Nestle Dairy 1003,Dairy,Nestle,Mid,48,8,4.4,7650,45,50,306.63,0,1,87,91,94,Unknown,1219,0,0,0,12/08/2022,0,30,58,612,1379,0,3,96.4,16,0.21,1.76,76.25,6710.0,71.38297872340425,0.30434601150913326,Medium,Category: Grocery | Product: Nestle Dairy 1003 | SubCategory: Dairy | Brand: Nestle | BrandTier: Mid | Promotion: Unknown | Festival: Unknown | StoreType: Urban
09/10/2023,6,9,2023,1,0,1018,Beauty,48.94,0.1,44.05,19,Rural,53.79,56.9,3.5,2.4,0.03,9,15,147,122,Unknown,,3008669382416,Lakme Skincare 1018,Skincare,Lakme,Premium,564,11,2.9,1411,1738,69,27.13,1,1,61,87,110,Seasonal Discount,5308,0,0,0,12/07/2018,0,38,84,667,1593,0,2,91.52,34,0.19,1.77,16.919999999999998,2064.24,18.76581818181818,0.2720656758477408,Medium,Category: Beauty | Product: Lakme Skincare 1018 | SubCategory: Skincare | Brand: Lakme | BrandTier: Premium | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
08/24/2023,3,8,2023,0,0,1010,Beauty,433.17,0.21,342.2,18,Rural,398.28,100.8,1.9,9.0,0.94,7,95,399,72,Unknown,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,4,4.7,1754,732,18,356.8,1,1,43,61,117,Seasonal Discount,5529,0,0,0,08/22/2021,0,28,44,598,1325,0,2,91.09,4,0.29,4.0,-14.600000000000023,-1051.2000000000016,-8.984615384615399,0.24435085060224382,Low,Category: Beauty | Product: Lakme Fragrance 1010 | SubCategory: Fragrance | Brand: Lakme | BrandTier: Budget | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
12/11/2023,0,12,2023,0,0,1001,Home,163.71,0.11,145.7,5,Rural,175.35,111.8,-2.3,2.4,0.04,13,91,461,104,Unknown,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,13,2.3,682,616,64,109.98,0,1,94,43,102,Unknown,1015,0,1,0,04/04/2022,0,13,91,495,923,0,0,99.9,16,0.29,1.62,35.719999999999985,3714.8799999999983,36.420392156862725,0.5750585030084912,High,Category: Home | Product: Tupperware Bedding 1001 | SubCategory: Bedding | Brand: Tupperware | BrandTier: Mid | Promotion: Unknown | Festival: Unknown | StoreType: Rural
02/18/2023,5,2,2023,1,0,1009,Grocery,93.27,0.29,66.22,2,Rural,92.9,64.5,21.9,8.7,0.61,14,165,258,116,Unknown,,6899637250727,Ashirvad Grains 1009,Grains,Ashirvad,Budget,34,8,6.7,1688,1508,116,46.84,1,0,48,94,67,Flash Sale,2655,0,0,0,01/02/2019,0,41,75,688,1674,0,3,96.28,51,0.13,1.0,19.379999999999995,2248.0799999999995,33.553432835820885,0.2890644134164109,Medium,Category: Grocery | Product: Ashirvad Grains 1009 | SubCategory: Grains | Brand: Ashirvad | BrandTier: Budget | Promotion: Flash Sale | Festival: Unknown | StoreType: Rural
02/28/2023,1,2,2023,0,0,1010,Home,123.49,0.19,100.03,7,Urban,131.57,85.4,13.5,2.0,0.69,3,51,29,119,Unknown,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,8,7.3,11584,496,118,86.98,1,1,73,48,99,Loyalty Only,5268,1,0,0,10/20/2021,0,32,87,626,1432,1,1,98.91,31,0.2,1.01,13.049999999999997,1552.9499999999996,15.686363636363632,0.4377056825415149,High,Category: Home | Product: Ikea Kitchenware 1010 | SubCategory: Kitchenware | Brand: Ikea | BrandTier: Mid | Promotion: Loyalty Only | Festival: Unknown | StoreType: Urban
06/19/2023,0,6,2023,0,0,1019,Electronics,211.89,0.22,165.27,10,Rural,225.33,57.7,28.2,2.9,0.11,4,83,17,79,Unknown,,832733976485,Bose Computers 1019,Computers,Bose,Mid,1209,13,4.2,1104,1128,15,113.87,1,1,10,73,82,Seasonal Discount,4414,0,1,0,05/17/2020,0,9,70,467,816,1,0,90.84,8,0.38,5.27,51.400000000000006,4060.6000000000004,49.519512195121955,0.29723044893094386,Medium,Category: Electronics | Product: Bose Computers 1019 | SubCategory: Computers | Brand: Bose | BrandTier: Mid | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
07/07/2023,4,7,2023,0,1,1015,Electronics,129.34,0.27,94.42,15,Urban,140.1,199.4,-1.0,4.8,0.05,7,50,186,142,Unknown,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,6,5.9,12371,1759,36,93.59,1,0,38,10,84,Loyalty Only,4214,0,0,0,09/12/2018,0,28,114,598,1325,0,2,86.08,9,0.15,3.94,0.8299999999999983,117.85999999999976,1.4030952380952353,0.2380052950433822,Low,Category: Electronics | Product: Sony Computers 1015 | SubCategory: Computers | Brand: Sony | BrandTier: Mid | Promotion: Loyalty Only | Festival: Unknown | StoreType: Urban
09/28/2023,3,9,2023,0,0,1018,Grocery,163.68,0.1,147.31,7,Urban,157.06,160.5,0.8,0.4,0.78,11,72,453,130,Unknown,,9284369426405,Amul Beverages 1018,Beverages,Amul,Mid,82,8,7.3,11584,653,115,115.45,0,1,75,38,42,Unknown,518,0,0,0,12/14/2021,1,32,98,626,1432,0,2,97.95,30,0.19,1.13,31.86,4141.8,98.61428571428571,0.3508683865382424,High,Category: Grocery | Product: Amul Beverages 1018 | SubCategory: Beverages | Brand: Amul | BrandTier: Mid | Promotion: Unknown | Festival: Unknown | StoreType: Urban
07/09/2023,6,7,2023,1,0,1010,Beauty,71.81,0.08,66.07,5,Urban,78.27,63.1,7.3,14.8,0.38,8,31,211,131,Unknown,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,11,6.6,5663,732,107,55.41,0,1,62,75,94,Unknown,1296,0,0,0,07/07/2021,0,48,83,736,1861,0,3,89.73,62,0.35,1.22,10.659999999999997,1396.4599999999996,14.855957446808507,0.21989526788137043,Low,Category: Beauty | Product: Lakme Fragrance 1010 | SubCategory: Fragrance | Brand: Lakme | BrandTier: Budget | Promotion: Unknown | Festival: Unknown | StoreType: Urban
06/24/2023,5,6,2023,1,0,1013,Home,151.61,0.44,84.9,15,Urban,141.05,53.0,25.6,4.3,0.11,6,88,34,109,Unknown,,8394125838184,Sleepwell Furniture 1013,Furniture,Sleepwell,Mid,2850,6,5.9,12371,767,88,96.21,1,1,68,62,100,BOGO,3882,0,1,0,05/18/2021,0,25,84,577,1245,1,2,93.98,45,0.18,1.24,-11.309999999999988,-1232.7899999999986,-12.327899999999985,0.405257273383049,High,Category: Home | Product: Sleepwell Furniture 1013 | SubCategory: Furniture | Brand: Sleepwell | BrandTier: Mid | Promotion: BOGO | Festival: Unknown | StoreType: Urban
02/20/2023,0,2,2023,0,0,1001,Home,288.28,0.22,224.86,20,Rural,264.18,157.9,7.2,3.5,0.76,4,166,146,124,Unknown,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,3,5.5,1463,616,46,198.92,1,0,39,68,50,Seasonal Discount,3864,0,0,0,06/14/2021,0,39,85,674,1620,0,2,90.27,14,0.29,2.7,25.940000000000026,3216.560000000003,64.33120000000007,0.4271953484873521,High,Category: Home | Product: Tupperware Bedding 1001 | SubCategory: Bedding | Brand: Tupperware | BrandTier: Mid | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
12/30/2023,5,12,2023,1,0,1004,Grocery,223.72,0.21,176.74,20,Rural,220.66,115.9,11.3,9.1,0.85,12,80,281,122,Unknown,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,3,5.5,1463,1410,54,132.22,1,1,34,39,95,Loyalty Only,3537,0,1,0,02/19/2020,0,16,106,516,1003,0,0,85.33,21,0.11,2.26,44.52000000000001,5431.440000000001,57.17305263157896,0.19271075177201527,Low,Category: Grocery | Product: Nestle Grains 1004 | SubCategory: Grains | Brand: Nestle | BrandTier: Premium | Promotion: Loyalty Only | Festival: Unknown | StoreType: Rural
02/24/2023,4,2,2023,0,0,1004,Grocery,176.63,0.02,173.1,15,Urban,188.23,168.0,7.1,10.0,0.59,2,123,34,123,Unknown,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,6,5.9,12371,1410,31,140.47,0,0,54,34,110,Unknown,904,0,0,0,04/16/2019,0,15,108,509,977,1,0,87.22,12,0.21,3.97,32.629999999999995,4013.4899999999993,36.48627272727272,0.1610197169798231,Low,Category: Grocery | Product: Nestle Grains 1004 | SubCategory: Grains | Brand: Nestle | BrandTier: Premium | Promotion: Unknown | Festival: Unknown | StoreType: Urban
09/01/2023,4,9,2023,0,0,1018,Electronics,374.49,0.25,280.87,10,Rural,372.5,188.5,-1.8,3.7,0.16,10,43,75,106,Unknown,,2386552824760,Samsung Computers 1018,Computers,Samsung,Budget,1112,13,4.2,1104,1731,66,253.34,1,0,62,54,56,Seasonal Discount,1714,1,0,0,12/05/2018,0,24,82,571,1218,0,2,90.06,25,0.12,1.61,27.53,2918.1800000000003,52.11035714285715,0.3022861692286269,Medium,Category: Electronics | Product: Samsung Computers 1018 | SubCategory: Computers | Brand: Samsung | BrandTier: Budget | Promotion: Seasonal Discount | Festival: Unknown | StoreType: Rural
